Freq.	V(N002,N011)
1.00000000000000e-06	(-6.02059991418310e+00dB,-5.40540000214677e-04°)
1.02329299228075e-06	(-6.02059991422568e+00dB,-5.53130794277469e-04°)
1.04712854805090e-06	(-6.02059991427026e+00dB,-5.66014865609915e-04°)
1.07151930523761e-06	(-6.02059991431695e+00dB,-5.79199045517246e-04°)
1.09647819614318e-06	(-6.02059991436584e+00dB,-5.92690324426236e-04°)
1.12201845430196e-06	(-6.02059991441703e+00dB,-6.06495855591622e-04°)
1.14815362149688e-06	(-6.02059991447063e+00dB,-6.20622958888851e-04°)
1.17489755493953e-06	(-6.02059991452676e+00dB,-6.35079124695178e-04°)
1.20226443461741e-06	(-6.02059991458554e+00dB,-6.49872017861161e-04°)
1.23026877081238e-06	(-6.02059991464708e+00dB,-6.65009481774671e-04°)
1.25892541179417e-06	(-6.02059991471153e+00dB,-6.80499542519555e-04°)
1.28824955169313e-06	(-6.02059991477901e+00dB,-6.96350413131177e-04°)
1.31825673855641e-06	(-6.02059991484968e+00dB,-7.12570497951076e-04°)
1.34896288259165e-06	(-6.02059991492367e+00dB,-7.29168397083061e-04°)
1.38038426460288e-06	(-6.02059991500115e+00dB,-7.46152910953100e-04°)
1.41253754462275e-06	(-6.02059991508229e+00dB,-7.63533044975424e-04°)
1.44543977074593e-06	(-6.02059991516724e+00dB,-7.81318014327316e-04°)
1.47910838816821e-06	(-6.02059991525620e+00dB,-7.99517248835122e-04°)
1.51356124843621e-06	(-6.02059991534936e+00dB,-8.18140397974070e-04°)
1.54881661891248e-06	(-6.02059991544690e+00dB,-8.37197335984551e-04°)
1.58489319246111e-06	(-6.02059991554904e+00dB,-8.56698167107573e-04°)
1.62181009735893e-06	(-6.02059991565600e+00dB,-8.76653230942162e-04°)
1.65958690743756e-06	(-6.02059991576799e+00dB,-8.97073107927560e-04°)
1.69824365246174e-06	(-6.02059991588526e+00dB,-9.17968624953111e-04°)
1.73780082874937e-06	(-6.02059991600806e+00dB,-9.39350861098825e-04°)
1.77827941003892e-06	(-6.02059991613665e+00dB,-9.61231153509654e-04°)
1.81970085860998e-06	(-6.02059991627130e+00dB,-9.83621103406594e-04°)
1.86208713666287e-06	(-6.02059991641229e+00dB,-1.00653258223781e-03°)
1.90546071796325e-06	(-6.02059991655993e+00dB,-1.02997773797305e-03°)
1.94984459975804e-06	(-6.02059991671453e+00dB,-1.05396900154463e-03°)
1.99526231496888e-06	(-6.02059991687641e+00dB,-1.07851909343851e-03°)
2.04173794466953e-06	(-6.02059991704592e+00dB,-1.10364103043886e-03°)
2.08929613085404e-06	(-6.02059991722342e+00dB,-1.12934813252971e-03°)
2.13796208950223e-06	(-6.02059991740929e+00dB,-1.15565402995744e-03°)
2.18776162394955e-06	(-6.02059991760391e+00dB,-1.18257267045763e-03°)
2.23872113856834e-06	(-6.02059991780771e+00dB,-1.21011832665044e-03°)
2.29086765276777e-06	(-6.02059991802111e+00dB,-1.23830560360807e-03°)
2.34422881531992e-06	(-6.02059991824457e+00dB,-1.26714944659860e-03°)
2.39883291901949e-06	(-6.02059991847856e+00dB,-1.29666514901016e-03°)
2.45470891568503e-06	(-6.02059991872358e+00dB,-1.32686836045968e-03°)
2.51188643150958e-06	(-6.02059991898014e+00dB,-1.35777509509058e-03°)
